GEO_UID,Visible_minority%,Immigrants%,Canadian_citizens%,Housing_Renter%,Housing_Owner%,Native_english/french_speaker%,Martial_status_Married%,Single-detached_house%,Highrise_condo%,Movable_dwelling%,Avg_household_size,Age_0_14%,Age_15_64%,Age_65%,Age_avg
59153943,0.105263158,0.198830409,0.935672515,0.058479532,0.286549708,0.929824561,0.578947368,0.721311475,0,0.016393443,3,0.16374269,0.67251462,0.16374269,41.8
59153944,0.047468354,0.126582278,1.044303797,0.126582278,0.253164557,1,0.522151899,0.75,0,0.083333333,3,0.126582278,0.696202532,0.158227848,43.5
59153945,0.520694259,0.427236315,0.62082777,0.200267023,0.23364486,0.754339119,0.44058745,0.059288538,0.503952569,0.009881423,1.9,0.053404539,0.747663551,0.20694259,46.5
59153946,0.865954923,0.634638197,0.919335706,0.106761566,0.195729537,0.877817319,0.486358244,0.392156863,0,0,3.4,0.166073547,0.71767497,0.118623962,39.4
59153948,0.893234672,0.710887949,0.679175476,0.11627907,0.385835095,0.837737844,0.496828753,0,0.611545988,0,2,0.071353066,0.745243129,0.184989429,43.7
59153949,0.950282087,0.692877292,0.759873061,0.09696756,0.349083216,0.883286319,0.527150917,0.010830325,0.180505415,0,2.3,0.132228491,0.789844852,0.079337094,36.2
59153950,0.983358548,0.771558245,0.824508321,0.02269289,0.310136157,0.771558245,0.537065053,0.091324201,0,0,3.1,0.121028744,0.688350983,0.189107413,43.9
59153952,0.230769231,0.205128205,0.961538462,0.051282051,0.320512821,0.987179487,0.525641026,0.798611111,0,0,2.8,0.205128205,0.666666667,0.128205128,39.1
59153953,0.122699387,0.161042945,0.874233129,0.04601227,0.299079755,0.912576687,0.506134969,0.415019763,0,0,2.7,0.153374233,0.713190184,0.130368098,40.6
59153955,0.221036585,0.304878049,0.807926829,0.571646341,0,1,0.480182927,0.012594458,0.654911839,0,1.7,0.083841463,0.800304878,0.12195122,39.9
59153956,0.283018868,0.377358491,0.786163522,0.623689727,0.094339623,1,0.309224319,0.00727802,0.618631732,0,1.4,0.052410901,0.838574423,0.104821803,40.6
59153957,0,0.130890052,1.047120419,0.130890052,0.287958115,1,0.602094241,0.548780488,0,0,2.5,0.104712042,0.680628272,0.209424084,48.4
59153958,0.12295082,0.245901639,0.915300546,0.245901639,0.163934426,0.928961749,0.409836066,0.239520958,0,0,2.4,0.177595628,0.75136612,0.081967213,37.4
59153960,0.329739218,0.325977934,0.898946841,0.179287864,0.325977934,0.980441324,0.532848546,0,0.508140109,0,2,0.147943831,0.749749248,0.102808425,38.3
59153961,0.364041605,0.312035661,1.002971768,0.252600297,0.2897474,1,0.490341753,0,0,0,1.8,0.111441308,0.824665676,0.066864785,36.8
59153962,0.303413401,0.297092288,0.910240202,0.214917826,0.303413401,0.992414665,0.480404551,0.175,0,0,2.1,0.164348925,0.745891277,0.088495575,37
59153963,0.195071869,0.338809035,0.924024641,0.123203285,0.287474333,0.995893224,0.46201232,0.178571429,0,0,2.4,0.164271047,0.698151951,0.133470226,40.4
59153965,0.204603581,0.358056266,0.971867008,0.10230179,0.460358056,0.959079284,0.485933504,0.066079295,0.594713656,0,1.8,0.063938619,0.460358056,0.485933504,58.6
59153966,0.066889632,0.100334448,0.953177258,0.100334448,0.267558528,1,0.484949833,0.569105691,0,0,2.7,0.16722408,0.668896321,0.150501672,41.3
59153967,0.092807425,0.197215777,0.90487239,0.05800464,0.30162413,0.939675174,0.498839907,0.745341615,0,0,2.8,0.185614849,0.719257541,0.104408353,38.7
59153968,0.131578947,0.192307692,0.941295547,0.394736842,0.232793522,1,0.273279352,0.014925373,0,0,1.6,0.12145749,0.748987854,0.141700405,40.6
